processed_text_gpt_lematizado,count
paciente,7423
x,5826
sinai,4945
nega,4822
enfermagem,3646
dia,3399
dor,3321
uso,2686
sim,2592
none,2590
exame,2495
h,2374
risco,2368
evolução,2189
exames,2102
leito,2033
refere,1923
fc,1783
ha,1754
físico,1739
ml,1727
realizado,1667
alergias,1661
pa,1600
conduta,1581
mg,1563
ar,1540
diagnóstica,1522
avaliação,1460
oriento,1453
p,1438
retorno,1434
anotação,1408
segue,1388
fr,1354
t,1348
alergia,1340
anamnese,1332
data,1311
médica,1303
vitais,1288
queda,1263
hipótese,1252
peso,1251
queixa,1246
d,1236
dieta,1218
cateter,1192
edema,1155
dm,1153
alta,1147
troca,1146
false,1136
indolor,1136
medicação,1133
queixas,1121
beg,1105
fm,1091
manter,1062
geral,1058
centro,1052
conforme,1039
após,1024
c,1018
ruídos,998
hd,985
clínico,984
cuidados,977
palpação,968
aplica,959
alterações,958
meta,954
respiratória,949
glasgow,949
quadro,935
prescrição,925
ap,922
número,921
cm,903
procedimento,901
tempo,899
boa,896
febre,891
controle,868
orientado,861
hb,856
pressão,849
mv,843
presente,830
cd,822
s,820
ambiente,815
nutricional,811
protocolo,810
abdome,809
mantendo,809
sato,805
nasal,797
estado,790
temperatura,784
pulseira,773
alimentos,771
bilateral,769
plano,769
afebril,768
k,766
eupneico,751
orientações,751
altura,742
abd,732
principal,729
grade,728
momento,726
ano,724
lote,721
internação,719
mmii,718
sopros,717
ventilação,716
aferido,713
flácido,712
sobre,711
curativo,711
preservada,707
fluxo,692
db,690
eou,690
acv,680
pessoais,676
relatum,670
sintomas,667
consulta,667
rha,663
equipe,655
membros,652
pulmonar,647
ssvv,645
local,645
cpm,643
pupilas,636
identificação,633
livre,628
pele,626
mse,623
livres,621
glicemia,621
mecânica,617
avp,615
plantão,606
atual,605
direita,604
orientada,600
traqueostomia,600
solicito,597
cirurgia,595
comorbidades,589
orotraqueal,585
melhora,584
tc,582
perfusão,577
cânula,573
cr,573
atendimento,572
alto,569
vesicular,566
consciente,560
motora,558
bpm,558
tipo,551
sedação,549
panturrilhas,547
adventícios,546
g,544
região,544
ausência,543
luva,542
respiratório,542
hoje,542
aceitação,541
filtro,541
invasiva,540
déficit,540
negativo,539
normal,537
aa,535
cod,535
avental,534
medicamentos,532
força,523
escala,522
realizar,518
usg,517
sempre,517
iam,513
direito,511
abdominal,511
acompanhante,509
diurese,507
oral,506
lab,504
ck,504
presença,503
bulhas,501
esquerdo,500
chaaa,500
capilar,499
apresenta,498
hidratado,497
tosse,497
tratamento,497
brnf,497
msd,495
fisioterapia,494
corado,494
necessário,493
pós,492
via,492
hpp,492
dr,492
alarme,491
medicado,489
uti,488
decúbito,487
quantidade,487
aparelho,486
ndn,485
visceromegalias,484
irritação,484
ra,480
esquerda,480
antecedentes,477
isocóricas,477
hda,476
dih,475
devido,475
acesso,474
outras,470
pcr,469
aspiração,468
observação,464
infecção,463
proposta,463
nuca,461
volume,460
terapêutica,460
comunicação,459
fotorreagentes,456
proveniente,455
murmúrio,453
desconforto,449
motor,448
rn,448
bilateralmente,447
leve,447
cuidador,447
audíveis,444
ca,444
peritoneal,444
n,444
sala,444
ur,442
mmhg,441
outros,440
eupneica,440
recebo,440
m,439
história,436
realizo,436
leuco,435
quanto,433
acompanhamento,432
u,431
silva,431
rítmicas,429
anamneseexame,428
nao,427
normofonéticas,427
elevadas,424
snc,424
drogas,412
kg,411
rodas,411
mãe,410
hidroaéreos,409
rotina,407
condutas,407
mantenho,406
prescrevo,406
clínica,405
muscular,403
sat,403
medicações,403
horas,402
b,400
piora,400
meningismo,399
intercorrências,399
hipertensão,397
cliente,394
gaze,392
po,388
decubito,387
evitar,386
mama,385
evite,384
